Time,Temperature,Dew Point,Humidity,Wind,Speed,Gust,Pressure,Precip. Rate.,Precip. Accum.,UV,Solar,Station,Location,Datetime,Temperature_C,Dew_Point_C
12:04 AM,54.8 °F,45.9 °F,72 °%,NW,0.1 °mph,0.1 °mph,30.21 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 00:04:00,12.666666666666664,7.722222222222222
12:09 AM,55.0 °F,45.6 °F,71 °%,NW,0.2 °mph,0.2 °mph,30.21 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 00:09:00,12.777777777777779,7.555555555555555
12:14 AM,55.2 °F,45.8 °F,71 °%,NW,0.1 °mph,0.1 °mph,30.21 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 00:14:00,12.888888888888891,7.666666666666665
12:19 AM,55.0 °F,45.6 °F,71 °%,NW,0.2 °mph,0.2 °mph,30.21 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 00:19:00,12.777777777777779,7.555555555555555
12:24 AM,55.0 °F,45.6 °F,71 °%,NW,0.2 °mph,0.2 °mph,30.21 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 00:24:00,12.777777777777779,7.555555555555555
12:29 AM,55.0 °F,45.6 °F,71 °%,NW,0.2 °mph,0.2 °mph,30.21 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 00:29:00,12.777777777777779,7.555555555555555
12:34 AM,54.9 °F,45.8 °F,72 °%,NW,0.0 °mph,0.0 °mph,30.21 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 00:34:00,12.722222222222221,7.666666666666665
12:39 AM,54.6 °F,45.8 °F,72 °%,NW,0.0 °mph,0.0 °mph,30.21 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 00:39:00,12.555555555555555,7.666666666666665
12:44 AM,54.2 °F,45.6 °F,73 °%,NW,0.0 °mph,0.0 °mph,30.21 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 00:44:00,12.333333333333336,7.555555555555555
12:49 AM,53.7 °F,45.6 °F,74 °%,NW,0.0 °mph,0.0 °mph,30.21 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 00:49:00,12.055555555555557,7.555555555555555
12:54 AM,53.5 °F,45.5 °F,74 °%,NW,0.0 °mph,0.0 °mph,30.21 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 00:54:00,11.944444444444445,7.5
12:59 AM,53.2 °F,45.2 °F,74 °%,NW,0.0 °mph,0.0 °mph,30.21 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 00:59:00,11.777777777777779,7.333333333333335
1:04 AM,53.2 °F,45.1 °F,74 °%,NW,0.1 °mph,0.1 °mph,30.21 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 01:04:00,11.777777777777779,7.277777777777778
1:09 AM,53.4 °F,45.2 °F,74 °%,NW,0.0 °mph,0.0 °mph,30.21 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 01:09:00,11.88888888888889,7.333333333333335
1:14 AM,53.3 °F,45.3 °F,74 °%,NW,0.0 °mph,0.0 °mph,30.21 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 01:14:00,11.833333333333332,7.3888888888888875
1:19 AM,53.1 °F,45.4 °F,75 °%,NW,0.1 °mph,0.1 °mph,30.21 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 01:19:00,11.722222222222221,7.444444444444445
1:24 AM,52.9 °F,45.2 °F,75 °%,NW,0.0 °mph,0.0 °mph,30.21 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 01:24:00,11.61111111111111,7.333333333333335
1:29 AM,52.7 °F,45.3 °F,76 °%,NW,0.0 °mph,0.0 °mph,30.21 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 01:29:00,11.500000000000002,7.3888888888888875
1:34 AM,52.4 °F,44.8 °F,76 °%,NW,0.0 °mph,0.0 °mph,30.21 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 01:34:00,11.333333333333334,7.11111111111111
1:39 AM,52.1 °F,45.0 °F,77 °%,NW,0.0 °mph,0.0 °mph,30.21 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 01:39:00,11.166666666666666,7.222222222222222
1:44 AM,51.9 °F,44.9 °F,77 °%,NW,0.0 °mph,0.0 °mph,30.21 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 01:44:00,11.055555555555555,7.166666666666667
1:49 AM,52.0 °F,44.5 °F,76 °%,NW,0.1 °mph,0.1 °mph,30.21 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 01:49:00,11.11111111111111,6.944444444444445
1:54 AM,52.3 °F,44.6 °F,75 °%,NW,0.0 °mph,0.0 °mph,30.21 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 01:54:00,11.277777777777777,7.000000000000001
1:59 AM,52.2 °F,44.7 °F,76 °%,NW,0.0 °mph,0.0 °mph,30.21 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 01:59:00,11.222222222222223,7.055555555555557
2:04 AM,52.0 °F,44.9 °F,77 °%,NW,0.0 °mph,0.0 °mph,30.21 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 02:04:00,11.11111111111111,7.166666666666667
2:09 AM,51.7 °F,44.7 °F,77 °%,NW,0.0 °mph,0.0 °mph,30.21 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 02:09:00,10.944444444444446,7.055555555555557
2:14 AM,51.4 °F,44.6 °F,78 °%,NW,0.0 °mph,0.0 °mph,30.21 °in,0.00 °in,0.00 °in,,w/m²,ICIREN19,Cirencester,2026-08-07 02:14:00,10.777777777777779,7.000000000000001
